voter_id,voter_name,date_of_birth,gender,nationality,registration_number,email,phone_number,cell_number,picture,registered_age,district_id,candidate_id,candidate_name,party_affiliation,biography,campaign_platform,photo_url,voting_time,vote,polling_station_id,vote_type
9b35eb4f-1830-4bc9-a059-f9fdbbb0926b,Kristin Ramirez,2001-05-08T17:27:10.121Z,female,GB,purplezebra648,kristin.ramirez@example.com,015394 61650,07175 612628,https://randomuser.me/api/portraits/women/68.jpg,5,DIST_021,2bf1aa80-fbe9-4eba-a033-19b317b5c081,Marc Castro,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/74.jpg,2024-09-18 13:09:38,1,PS12233,regular
392bf820-5168-4040-8bc2-cd9153dd0464,Chloe Miller,1976-12-08T15:57:07.381Z,female,GB,blackrabbit854,chloe.miller@example.com,016977 4696,07703 237026,https://randomuser.me/api/portraits/women/32.jpg,20,DIST_004,97cb157d-1f64-4b4a-be82-9f59e4bc3d7a,Debbie Mitchell,Savior Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/women/59.jpg,2024-09-18 13:09:40,1,PS12345,invalid
be3e5ae2-b502-43f6-a579-8e872dde671b,Michelle Stewart,1976-02-10T19:56:02.257Z,female,GB,organiclion892,michelle.stewart@example.com,01855 207431,07394 832552,https://randomuser.me/api/portraits/women/17.jpg,13,DIST_001,97cb157d-1f64-4b4a-be82-9f59e4bc3d7a,Debbie Mitchell,Savior Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/women/59.jpg,2024-09-18 13:09:42,1,PS89012,regular
75be9f86-d872-4a7f-8f88-4992d90911db,Jerry Gonzalez,1977-12-30T01:33:39.052Z,male,GB,lazyleopard371,jerry.gonzalez@example.com,019467 58514,07629 491895,https://randomuser.me/api/portraits/men/18.jpg,10,DIST_024,97cb157d-1f64-4b4a-be82-9f59e4bc3d7a,Debbie Mitchell,Savior Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/women/59.jpg,2024-09-18 13:09:44,1,PS56789,regular
84a23faf-f79a-4e78-b1e1-5d476bf57373,Julio Garza,1994-03-18T00:31:47.960Z,male,GB,tinycat412,julio.garza@example.com,0115285 113 9067,07980 259620,https://randomuser.me/api/portraits/men/44.jpg,16,DIST_009,2bf1aa80-fbe9-4eba-a033-19b317b5c081,Marc Castro,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/74.jpg,2024-09-18 13:09:46,1,PS89012,regular
849ebd02-cb09-43b8-acf0-4d24180de40e,Jon Garcia,1993-03-21T04:52:11.858Z,male,GB,yellowbear344,jon.garcia@example.com,016977 1121,07381 930935,https://randomuser.me/api/portraits/men/28.jpg,19,DIST_008,97cb157d-1f64-4b4a-be82-9f59e4bc3d7a,Debbie Mitchell,Savior Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/women/59.jpg,2024-09-18 13:09:48,1,PS90123,invalid
228873ee-605f-4b7b-ac58-e213a93f8b2d,Clifford Clark,1952-09-28T09:39:54.184Z,male,GB,greenleopard899,clifford.clark@example.com,022 8914 8927,07601 686941,https://randomuser.me/api/portraits/men/19.jpg,20,DIST_008,97cb157d-1f64-4b4a-be82-9f59e4bc3d7a,Debbie Mitchell,Savior Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/women/59.jpg,2024-09-18 13:09:50,1,PS23456,regular
19985c1e-d48e-4e10-a010-949527743884,Amelia Mckinney,1979-06-17T02:20:20.159Z,female,GB,angrymeercat333,amelia.mckinney@example.com,017683 55643,07350 584087,https://randomuser.me/api/portraits/women/14.jpg,15,DIST_005,2bf1aa80-fbe9-4eba-a033-19b317b5c081,Marc Castro,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/74.jpg,2024-09-18 13:09:52,1,PS34567,regular
c684a217-082c-4520-9584-bafdf7002ca7,Rachel Hayes,1998-03-18T19:32:40.637Z,female,GB,crazypanda714,rachel.hayes@example.com,015395 22396,07582 575636,https://randomuser.me/api/portraits/women/96.jpg,4,DIST_024,97cb157d-1f64-4b4a-be82-9f59e4bc3d7a,Debbie Mitchell,Savior Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/women/59.jpg,2024-09-18 13:09:54,1,PS89012,regular
bef28dd1-8461-4b33-b242-7b3397f3b889,Paul Thomas,1984-01-21T09:21:41.778Z,male,GB,crazydog518,paul.thomas@example.com,015395 98291,07981 416033,https://randomuser.me/api/portraits/men/19.jpg,17,DIST_004,2bf1aa80-fbe9-4eba-a033-19b317b5c081,Marc Castro,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/74.jpg,2024-09-18 13:09:56,1,PS89012,regular
